Title,Lyrics,Genre
অপরাজিত,"এবার তোমার কথাগুলোর কাছে আমি অপরাজিত জমে থাকা যত অনুভূতি আমার জল রঙে হারিয়ে যাবে অধিকারের ভালবাসা রঙে হারিয়ে যাবে আবার ফিরে কেন আসা? হেরে যাওয়া পথে, দুরে, সুরে, ঘুরে তোমার আমার স্বপ্ন পুড়ে বিষণ্ণতার জগৎ জুড়ে তুমি যেদিকে যাবে আমায় ভেবে তোমার দুচোখ হারাবে পথ আর্তনাদের বৃষ্টি রাতে ফেরাবে, যেখানে, আমি নেই, দাড়িয়ে দাড়িয়ে",আধুনিক
আমার ভায়ের রক্তে রাঙানো,আমার ভায়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি আমি কি ভুলিতে পারি?।। ছেলেহারা শত মায়ের অশ্রু-গড়া এ ফেব্রুয়ারি আমি কি ভুলিতে পারি?।। আমার সোনার দেশের রক্তে রাঙানো ফেব্রুয়ারি আমি কি ভুলিতে পারি?।।,দেশাত্মবোধক
দয়াল চান্দের পায়ের দুলা আমি যেন হইতে পারি,আমি কুকুর হইয়া দেই পাহাড়া দয়াল চান্দের ঘড় বাড়ি আমি যেন হইতে পারি……. দয়াল আমার অযু করে যেই ঘটি দিয়াি আমি যেন থাকতে পারি সেই ঘটি হইয়া দয়াল চান্দের বাড়ির ঝারু আমি যেন হইতে পারি দয়াল ও দয়াল আমার খাটে ঘুমায় যেই বিসানার পর আমি যেন থাকতে পারি সেই বরাবর দেওয়ান আক্কাসের এই মর বেলায় মুরশিদ রুপ দেখতে পাই… আমি যেন হইতে পারি,লোকসঙ্গীত
মাওলানা,তুমি এসমে আজ যত তরানে ওলা গাউছেলাম বাবা নুরে মাওলা তুমি এসমে আযম যত তরানে ওলা….. আলীফেতে ওহে দাল্লা রাখালিতে খালিকুল্লা নুর মুহাম্মদ সাল্লি ওলা.. আমার বাবা মাওলানা আওলাদে রাসুল মদিনার ফুল আমার বাবা মাওলানা আলিফেতে আছো তুমি লামের মাঝে থাকি আমি মিমেতে মোহাম্মাম সেজে করতেছো কত বাহানা… আওলাদে রাসূল মদিনার ………..ঐ আব্দুল্লার হই চখো কানা চিনে না সে পর আপনা এই দুনিয়া হবে ফানা আমার বাবা মাওলানা আওলাদে রাসূল মদিনার ………..ঐ,লোকসঙ্গীত
আমার আপনার চেয়ে আপন যে জন,আমার আপনার চেয়ে আপন যে জন খুঁজি তারে আমি আপনায় আমি শুনি যেন তার চরণের ধ্বনি আমারি পিয়াসী বাসনায়। আমার মনের তৃষিত আকাশে কাঁদে সে চাতক আকুল পিয়াসে কভু সে চকোর সুধাচোর আসে নিশীথে স্বপনে জোছনায়। আমার মনের পিয়াল তমালে হেরি তারে স্নেহ মেঘশ্যাম অশনি আলোতে হেরি তারে থির বিজলি উজল অভিরাম। আমারি রচিত কাননে বসিয়া পরাণ প্রিয়ারে মালিকা রচিয়া সে মালা সহসা দেখিনু জাগিয়া আপনারই গলে দোলে হায়।।,নজরুলগীতি
বোলো না বোলো না ওলো সই,বোলো না বোলো না ওলো সই আর সে কথা।। তরু কি লতার কাছে এসে কভু প্রেম যাচে তরু বিনা নাহি বাঁচে অসহায় লতা।। ভুলিতে যার নাই তুলনা সখি তার কথা তুলো না প্রাণহীন পাষাণে গড়া সে যে দেবতা।।,নজরুলগীতি
কেন চাঁদিনী রাতে মেঘ আসে ছায়া ক’রে,"কেন চাঁদিনী রাতে মেঘ আসে ছায়া ক’রে। সুখের বাসরে কেন, প্রাণ ওঠে বিষাদে ভ’রে।। কেন মিলন রাতে, সলিল আঁখি পাতে, কেন ফাগুন প্রাতে, সহসা বাদল ঝরে।। ডাকিয়া ফুলবনে, থাকে সে আনমনে, কাঁদায় নিরজনে, কাঁদে কে কিসের তরে।।",নজরুলগীতি
কেন করুণ সুরে হৃদয়-পুরে বাজিছে বাঁশরি,কেন করুণ সুরে হৃদয়পুরে বাজিছে বাঁশরি ঘনায় গহন নীরদ সঘন নয়ন মন ভরি।। বিজলি চমকে পবন দমকে পরান কাঁপে রে বুকের বঁধুরে বুকে বেঁধে ঝুরে বিধুরা কিশোরী।।,নজরুলগীতি
কিছু দুরে থাকা কিছু কাছে আসা,কিছু দুরে থাকা কিছু কাছে আসা এ আসার যেন শেষ নেই তুমি এলে কাছে সুর জাগে গানে সুরের যে কিছু শেষ নেই। এই রাত এত সুন্দর হল তুমি আসবে বলে এই চাঁদ এত সপ্নীল হল ভালবাসবে বলে দুজনের মধুস্বপ্নের মতো মায়াময় কোন দেশ নেই। এই মন এত চঞ্চল হল তুমি আসবে বলে এই ক্ষন এত উজ্জ্বল হল তুমি হাসবে বলে হাসির মায়ায় কে বলে এখন ভালোলাগার সে আবেশ নেই।,আধুনিক
ঘুমিয়ে গেছে শ্রান্ত হ​য়ে আমার গানের বুলবুলি,"ঘুমিয়ে গেছে শ্রান্ত হয়ে আমার গানের বুলবুলি। করুণ চোখে চেয়ে আছে সাঝের ঝরা ফুলগুলি।। ফুল ফুটিয়ে ভোর বেলা কে গান গেয়ে নীরব হ’ল কোন বিষাদের বান খেয়ে বনের কোলে বিলাপ করে সন্ধ্যারাণী চুল খুলি।। কাল হতে আর ফুটবে না হায়, লতার বুকে মঞ্জরী উঠছে পাতায় পাতায় কাহার করুণ নিশাস মর্মরী। গানের পাখি গেছে উড়ে শূণ্য নীড় কন্ঠে আমার নাই সে আগের কথার ভিড় আলেয়ার এ আলোতে আর আসবে না কেউ কুল ভুলি।।",নজরুলগীতি
