id,lyrics,language
bn_8503,"কোন্‌ সুদূর হতে আমার মনোমাঝে বাণীর ধারা বহে-- আমার প্রাণে প্রাণে। আমি কখন্‌ শুনি, কখন্‌ শুনি না যে, কখন্‌ কী যে কহে-- আমার কানে কানে॥ আমার ঘুমে আমার কোলাহলে আমার আঁখি-জলে তাহারি সুর, তাহারি সুর জীবন-গুহাতলে গোপন গানে রহে-- আমার কানে কানে॥ কোন্‌ ঘন গহন বিজন তীরে তীরে তাহার ভাঙা গড়া-- ছায়ার তলে তলে। আমি জানি না কোন্‌ দক্ষিণসমীরে তাহার ওঠা পড়া-- ঢেউয়ের ছলোছলে। এই ধরণীরে গগন-পারের ছাঁদে সে যে তারার সাথে বাঁধে, সুখের সাথে দুখ মিলায়ে কাঁদে \'এ নহে এই নহে-- নহে নহে, এ নহে এই নহে\'-- কাঁদে কানে কানে॥",bn
bn_7752,"শ্রাবণ, তুমি বাতাসে কার আভাস পেলে-- পথে তারি সকল বারি দিলে ঢেলে। কেয়া কাঁদে, \""যা য় যা য় যায়।\' কদম ঝরে, \""হা য় হা য় হায়।\' পুব-হাওয়া কয়, \""ওর তো সময় নাই বাকি আর।\' শরৎ বলে, \""যাক-না সময়, ভয় কিবা তার-- কাটবে বেলা আকাশ-মাঝে বিনা কাজে অসময়ের খেলা খেলে।\' কালো মেঘের আর কি আছে দিন, ও যে হল সাথিহীন। পুব-হাওয়া কয়, \""কালোর এবার যাওয়াই ভালো।\' শরৎ বলে, \""মিলিয়ে দেব কালোয় আলো-- সাজবে বাদল আকাশ-মাঝে সোনার সাজে কালিমা ওর মুছে ফেলে।\'",bn
bn_9350," কাশবনে একা আনমনে,আঁকা ছবিগুলো ছিঁড়ে গেছে।জ্বলন্ত সিগারেটে ভেজা অ্যাশট্রেতে,জীবনের গতি থেমে আছে।বহুদূর চলে গেলো কিছু স্মৃতিগুলো,ভেসে গেলো জলোচ্ছ্বাসে।প্রিয়া তুমি চলে গিয়ে থাকলে দূরে,ইদানীং তাই একা লাগে।আসে যদি যন্ত্রণা দাও কিছু মন্দ নাহতাশার কান্নাটা জীবনের ছন্দ নাএলোমেলো কল্পনা বহুরূপী মন্ত্রণাআসে যদি যন্ত্রণা ভালো লাগা মন্দ না। ঘুরে ফিরে জীবনের বাঁকে,বিষে ভরা রঙতুলি হাসে।কিছু ফুল ফুটে আছে কিছু ঝড়ে গেছে,অকারণে কেউ ভালবাসে।প্রিয়া তুমি চলে গিয়ে থাকলে দূরে,ইদানীং তাই একা লাগে। বোধগুলো চিহ্ন তো রাখে,কিছু প্রতিশোধ বাকী থাকে।দুরন্ত মন তাই শুধু ছবি আঁকে,দুঃখগুলো মুচকি হাসে।প্রিয়া তুমি চলে গিয়ে থাকলে দূরে,ইদানীং তাই একা লাগে। বাড়ন্ত স্বপ্নরা হাসে,বিমূর্ত রাত কাঁদে নীল বাতাসে।হেরে গেছি এই আমি জীবনের কাছে,দুরন্ত প্রতিভারা পড়ে আছে মিছে।হেসে বলে সাগরের নীল জলরাশি,নবজাতকের মুখে জ্যোতি পায় হাসি।মৃত কোন বাউলের আত্মাটা কাঁদেহতাশায় বুক বাঁধা আমার বুকে।চায়ের কাপ হাতে প্রতিদিন এভাবেইজীবনটা ছাই মাখা আকাশের ছবি। ",bn
bn_8414,"কণ্ঠে নিলেম গান, আমার শেষ পারানির কড়ি-- একলা ঘাটে রইব না গো পড়ি ॥ আমার সুরের রসিক নেয়ে তারে ভোলাব গান গেয়ে, পারের খেয়ায় সেই ভরসায় চড়ি ॥ পার হব কি নাই হব তার খবর কে রাখে-- দূরের হাওয়ায় ডাক দিল এই সুরের পাগলাকে। ওগো তোমরা মিছে ভাব\', আমি যাবই যাবই যাব-- ভাঙল দুয়ার, কাটল দড়াদড়ি ॥",bn
bn_7671,"যাই যাই, ছেড়ে দাও–স্রোতের মুখে ভেসে যাই। যা হবার তা হবে আমার, ভেসেছি তো ভেসে যাই॥ ছিল যত সহিবার সহেছি তো অনিবার– এখন কিসের আশা আর। ভেসেছি তো ভেসে যাই॥",bn
bn_4738,আমাদের চেতনার সৈকতে একুশের ঢেউ মাথা কুটল শহীদের রক্তের বিনিময়ে চোখে জল কয় ফোঁটা জুটল।। বছরের একদিন পুণ্য সঞ্চয়ে হয় ঋণ পরিশোধ হৃদয়ের পাত্রটি শুন্য অন্যের পায়ে পায়ে লুটল।। কতকাল আর এই প্রহসন মুখে মুখে শুধু বাঙালীত্ব কতকাল আর মোহবন্ধন জীবনের পদে পদে নিত্য। একুশের ঢেউ তবু লাগবেই উর্বর বাংলার প্রান্তর ফসলের মরশুম জাগবে রক্ত গোলাপ যদি ফুটল।। ,bn
bn_8677,"তুমি হঠাৎ-হাওয়ায় ভেসে-আসা ধন– তাই হঠাৎ-পাওয়ায় চমকে ওঠে মন॥ গোপন পথে আপন-মনে বাহির হও যে কোন্‌ লগনে, হঠাৎ-গন্ধে মাতাও সমীরণ॥ নিত্য যেথায় আনাগোনা হয় না সেথায় চেনাশোনা, উড়িয়ে ধুলো আসছে কতই জন। কখন পথের বাহির থেকে হঠাৎ বাঁশি যায় যে ডেকে, পথহারাকে করে সচেতন॥",bn
bn_965,"এ কোন মধুর শরাব দিলে আল্‌-আরাবী সাকী নেশায় হলাম দীওয়ানা যে, রঙিন হল আঁখি। তৌহীদের শিরাজী নিয়ে ডাকলে সবায়, ‘যা রে পিয়ে’ নিখিল জগৎ ছুটে এল, রইল না কেউ বাকি। বসল তোমার মহ্‌ফিল দূর মক্কা মদিনাতে আল্‌-কোরআনের গাইলে গজল শবে-কদর রাতে। নর-নারী বাদশা ফকির তোমার রূপে হয়ে অধীর যা ছিল নজরানা দিল রাঙা পায়ে রাখি। তোমার কাসেদ খবর নিয়ে ছুটল দিকে দিকে তোমার বিজয়-বার্তা গেল দেশে দেশে লিখে। লা-শরীকের জল্‌সাতে তাই শরীক হল এসে সবাই তোমার আজান-গান শুনাল হাজার বেলাল ডাকি।।",bn
bn_3208,কি ছিলে আমার বলনা তুমি আছিতো আগেরি মত এখনো আমি।। ভূলে কি গেছ তুমি বাসরেরও কথা আজো তা রয়েছে আমার স্মৃতিতে গাঁথা। কি ছিলে আমার বলনা তুমি আছিতো আগেরি মত এখনো আমি। তুমি কি আগেরি মত এখনো হাসো তুমি কি তেমনি করে আমায় ভালোবাসো। কি ছিলে আমার বলনা তুমি আছিতো আগেরি মত এখনো আমি।,bn
bn_5285, তোমার নামের ধ্বনি জগৎ জুড়ে শুনতে পাইসবাই তোমায় ভালোবাসে হিন্দু-মুসলিম প্রভেদ নাই ॥ চিশতিয়া তরিকা তোমার আজমিরে রয়েছে মাজার ভক্তগণের প্রেমের বাজার প্রেমসাগরে খেলে লাই ॥ হয়ে তোমার প্রেমে পাগল আশেকে গায় প্রেমের গজল আছে এতে আসল-নকল ভক্তি বিনা মুক্তি নাই ॥ পড়ে ছয় রিপুর কবলে এ জনম গেল বিফলে বাউল আবদুল করিম বলে আমি তোমার দয়া চাই ॥,bn
bn_4477," রে তোরে একবার দেখি ভাই। এতদিন খুঁজে তোরে পাইনে রে কানাই। ষড়ৈশ্বর্য ত্যাজ্য করে। এলি রে ভাই নদেপুরে কি ভাবের ভাব তোর অন্তরে আমায় সত্য বল রে তাই। তোর শোকে যশোদা রাণী হয়ে আছে কাঙ্গালিনী ও যে হায় নীলমণি, নীলমণি বলে সদাই ছাড়ছে হাই। দৃষ্ট করে দেখ তুমি তোমার ছিদাম নফর আমি লালন কেন্দে বলে, আমি ভাবের বলিহারি যাই।। ",bn
bn_9036,"বাদল-বাউল বাজায় রে একতারা-- সারা বেলা ধ\'রে ঝরোঝরো ঝরো ধারা ॥ জামের বনে ধানের ক্ষেতে আপন তানে আপনি মেতে নেচে নেচে হল সারা ॥ ঘন জটার ঘটা ঘনায় আঁধার আকাশ-মাঝে, পাতায় পাতায় টুপুর টুপুর নূপুর মধুর বাজে। ঘর-ছাড়ানো আকুল সুরে উদাস হয়ে বেড়ায় ঘুরে পুবে হাওয়া গৃহহারা ॥",bn
bn_8725,"তোমার কাছে এ বর মাগি,   মরণ হতে যেন জাগি              গানের সুরে॥ যেমনি নয়ন মেলি যেন    মাতার স্তন্যসুধা-হেন নবীন জীবন দেয় গো পুরে   গানের সুরে॥            সেথায় তরু তৃণ যত মাটির বাঁশি হতে ওঠে গানের মতো। আলোক সেথা দেয় গো আনি আকাশের আনন্দবাণী, হৃদয়্মাঝে বেড়ায় ঘুরে   গানের সুরে॥",bn
bn_518,কোন একদিন যদি চলে যাই তারাদের চেয়েও আরো দূরে ভেবোনা মিছে সেদিন তুমি খুঁজে দেখো আছি আমি চেনা কোন গানের সুরে………।। বাকী গানের কথা আসছে……,bn
